WL[\AA]	Flux[\muJy]
4902.1367	4.37
4907.1813	6.13
4912.2259	5.27
4917.2705	9.91
4922.3151	5.67
4927.3597	5.97
4932.4043	9.82
4937.4489	5.74
4942.4935	10.57
4947.5381	11.78
4952.5827	11.84
4957.6273	7.74
4962.6719	10.79
4967.7165	4.66
4972.7611	7.80
4977.8057	2.36
4982.8503	4.08
4987.8949	14.24
4992.9394	19.65
4997.9840	10.32
5003.0286	6.51
5008.0732	6.89
5013.1178	4.44
5018.1624	6.29
5023.2070	11.85
5028.2516	9.18
5033.2962	7.65
5038.3408	9.19
5043.3854	5.91
5048.4300	10.67
5053.4746	13.27
5058.5192	9.23
5063.5638	11.18
5068.6084	7.53
5073.6530	9.70
5078.6976	5.91
5083.7422	7.51
5088.7868	13.79
5093.8314	10.67
5098.8760	7.88
5103.9206	7.98
5108.9652	6.80
5114.0098	8.06
5119.0544	7.88
5124.0990	9.76
5129.1435	4.63
5134.1881	10.19
5139.2327	11.43
5144.2773	11.79
5149.3219	4.33
5154.3665	6.14
5159.4111	4.50
5164.4557	7.49
5169.5003	5.67
5174.5449	10.13
5179.5895	4.43
5184.6341	7.23
5189.6787	6.60
5194.7233	5.55
5199.7679	8.51
5204.8125	4.09
5209.8571	16.18
5214.9017	9.57
5219.9463	9.21
5224.9909	9.65
5230.0355	9.15
5235.0801	7.36
5240.1247	9.07
5245.1693	7.13
5250.2139	4.39
5255.2585	7.91
5260.3030	6.31
5265.3476	4.60
5270.3922	5.17
5275.4368	8.29
5280.4814	6.11
5285.5260	4.93
5290.5706	7.70
5295.6152	6.16
5300.6598	6.72
5305.7044	7.26
5310.7490	11.22
5315.7936	9.88
5320.8382	10.64
5325.8828	8.76
5330.9274	3.74
5335.9720	7.63
5341.0166	7.05
5346.0612	4.52
5351.1058	5.82
5356.1504	6.38
5361.1950	7.50
5366.2396	7.75
5371.2842	6.89
5376.3288	8.87
5381.3734	6.55
5386.4180	5.86
5391.4625	4.95
5396.5071	6.59
5401.5517	6.49
5406.5963	8.99
5411.6409	5.14
5416.6855	4.76
5421.7301	7.81
5426.7747	5.91
5431.8193	8.55
5436.8639	4.78
5441.9085	4.67
5446.9531	6.87
5451.9977	5.54
5457.0423	8.30
5462.0869	6.07
5467.1315	6.90
5472.1761	8.57
5477.2207	8.25
5482.2653	6.99
5487.3099	8.82
5492.3545	12.31
5497.3991	13.39
5502.4437	10.61
5507.4883	10.90
5512.5329	7.92
5517.5775	7.49
5522.6220	9.46
5527.6666	5.80
5532.7112	7.04
5537.7558	8.79
5542.8004	4.57
